time,flow,temp,salt,aed_phosphorus_frp,aed_organic_matter_pop,aed_organic_matter_don,aed_nitrogen_nit,aed_nitrogen_amm
2007-01-01,2.69126,2.716087386,0,0,0,0,0,0
2007-01-02,1.198834,2.263406155,0,0,0,0,0,0
2007-01-03,0.73398,1.539116185,0,0,0,0,0,0
2007-01-04,0.415922,2.263406155,0,0,0,0,0,0
2007-01-05,0.269126,3.983594832,0,0,0,0,0,0
2007-01-06,0.048932,3.440377355,0,0,0,0,0,0
2007-01-07,0.097864,2.082333662,0,0,0,0,0,0
2007-01-08,0.073398,1.086434954,0,0,0,0,0,0
2007-01-09,0,0.452681231,0,0,0,0,0,0
2007-01-10,0,0.271608739,0,0,0,0,0,0
2007-01-11,0,0.905362462,0,0,0,0,0,0
2007-01-12,0,0.814826216,0,0,0,0,0,0
2007-01-13,0,0.905362462,0,0,0,0,0,0
2007-01-14,0.146796,0.814826216,0,0,0,0,0,0
2007-01-15,0.048932,0.633753723,0,0,0,0,0,0
2007-01-16,0,0.633753723,0,0,0,0,0,0
2007-01-17,0,0.814826216,0,0,0,0,0,0
2007-01-18,0,0.633753723,0,0,0,0,0,0
2007-01-19,0,0.633753723,0,0,0,0,0,0
2007-01-20,0,0.814826216,0,0,0,0,0,0
2007-01-21,0,0.724289969,0,0,0,0,0,0
2007-01-22,0.024466,0.452681231,0,0,0,0,0,0
2007-01-23,0,0.362144985,0,0,0,0,0,0
2007-01-24,0.048932,0.362144985,0,0,0,0,0,0
2007-01-25,0,0.271608739,0,0,0,0,0,0
2007-01-26,0.097864,0.271608739,0,0,0,0,0,0
2007-01-27,0,0.271608739,0,0,0,0,0,0
2007-01-28,0.12233,0.271608739,0,0,0,0,0,0
2007-01-29,0.12233,0.090536246,0,0,0,0,0,0
2007-01-30,0.12233,0.090536246,0,0,0,0,0,0
2007-01-31,0,0.090536246,0,0,0,0,0,0
2007-02-01,0,0.090536246,0,0,0,0,0,0
2007-02-02,0,0.090536246,0,0,0,0,0,0
2007-02-03,0,0.090536246,0,0,0,0,0,0
2007-02-04,0,0.090536246,0,0,0,0,0,0
2007-02-05,0,0.090536246,0,0,0,0,0,0
2007-02-06,0,0.090536246,0,0,0,0,0,0
2007-02-07,0.171262,0.090536246,0,0,0,0,0,0
2007-02-08,0.636116,0,0,0,0,0,0,0
2007-02-09,0.61165,0,0,0,0,0,0,0
2007-02-10,0.61165,0,0,0,0,0,0,0
2007-02-11,0.660582,0,0,0,0,0,0,0
2007-02-12,0.73398,0,0,0,0,0,0,0
2007-02-13,0.73398,0,0,0,0,0,0,0
2007-02-14,0.758446,0,0,0,0,0,0,0
2007-02-15,0.73398,0,0,0,0,0,0,0
2007-02-16,0.73398,0,0,0,0,0,0,0
2007-02-17,0.73398,0,0,0,0,0,0,0
2007-02-18,0.758446,0,0,0,0,0,0,0
2007-02-19,0.905242,0,0,0,0,0,0,0
2007-02-20,1.59029,0.090536246,0,0,0,0,0,0
2007-02-21,3.6699,0.090536246,0,0,0,0,0,0
2007-02-22,2.69126,0.181072492,0,0,0,0,0,0
2007-02-23,2.299804,0.181072492,0,0,0,0,0,0
2007-02-24,1.149902,0,0,0,0,0,0,0
2007-02-25,1.125436,0,0,0,0,0,0,0
2007-02-26,1.419028,0,0,0,0,0,0,0
2007-02-27,2.030678,0,0,0,0,0,0,0
2007-02-28,2.030678,0,0,0,0,0,0,0
2007-03-01,8.31844,0,0,0,0,0,0,0
2007-03-02,7.09514,0,0,0,0,0,0,0
2007-03-03,2.93592,0,0,0,0,0,0,0
