time,flow
2007-01-01,264.96678
2007-01-02,99.062834
2007-01-03,116.70282
2007-01-04,184.155582
2007-01-05,212.878666
2007-01-06,126.538152
2007-01-07,109.216224
2007-01-08,160.570358
2007-01-09,131.13776
2007-01-10,71.93004
2007-01-11,167.34744
2007-01-12,140.6795
2007-01-13,118.41544
2007-01-14,142.783576
2007-01-15,96.444972
2007-01-16,115.96884
2007-01-17,103.49118
2007-01-18,118.17078
2007-01-19,118.17078
2007-01-20,100.79992
2007-01-21,105.69312
2007-01-22,108.408846
2007-01-23,113.27758
2007-01-24,113.326512
2007-01-25,103.49118
2007-01-26,125.608444
2007-01-27,118.17078
2007-01-28,98.72031
2007-01-29,100.92225
2007-01-30,103.36885
2007-01-31,93.21546
2007-02-01,100.55526
2007-02-02,88.32226
2007-02-03,83.42906
2007-02-04,97.643806
2007-02-05,92.701674
2007-02-06,80.37081
2007-02-07,97.692738
2007-02-08,105.521858
2007-02-09,103.050792
2007-02-10,117.779324
2007-02-11,115.381656
2007-02-12,73.936252
2007-02-13,135.17465
2007-02-14,127.981646
2007-02-15,122.966116
2007-02-16,120.61738
2007-02-17,108.38438
2007-02-18,93.533518
2007-02-19,93.876042
2007-02-20,117.06981
2007-02-21,137.74358
2007-02-22,139.4562
2007-02-23,137.841444
2007-02-24,120.543982
2007-02-25,112.445736
2007-02-26,122.525728
2007-02-27,130.721838
2007-02-28,132.923778
2007-03-01,142.39212
2007-03-02,155.3591
2007-03-03,160.2523
2007-03-04,139.138142
2007-03-05,143.101634
2007-03-06,132.287662
2007-03-07,141.707072
2007-03-08,139.064744
2007-03-09,156.82706
2007-03-10,209.1843
2007-03-11,258.36096
2007-03-12,614.0966
2007-03-13,1389.6688
2007-03-14,1424.41052
2007-03-15,984.26718
2007-03-16,412.521226
2007-03-17,244.41534
2007-03-18,189.342374
2007-03-19,242.286798
2007-03-20,214.101966
2007-03-21,198.1746
2007-03-22,626.3296
2007-03-23,584.00342
2007-03-24,327.771002
2007-03-25,193.868584
2007-03-26,306.19199
2007-03-27,321.97256
2007-03-28,155.11444
2007-03-29,182.63869
2007-03-30,217.771866
2007-03-31,262.03086
2007-04-01,437.9414
2007-04-02,546.32578
2007-04-03,800.0382
2007-04-04,683.8247
2007-04-05,380.397368
2007-04-06,265.994352
2007-04-07,226.55516
